Frames	sa_pro	sa_A	sa_C	sa_buried
0	12196.4541	12161.62012	336.2944641	301.4604797
1	12783.41113	12782.0791	352.960968	351.6289368
2	12800.875	12811.66797	349.2433472	360.0363159
3	12851.89355	12864.87598	349.0691833	362.0516052
4	13008.50977	13005.75781	344.7490845	341.9971313
5	13087.7002	13107.21484	346.3832092	365.8978577
6	13229.30957	13245.62109	342.4999695	358.8114929
7	12994.97656	12989.20898	354.9349365	349.1673584
8	13040.05957	13045.34473	354.7610168	360.0461731
9	13128.1543	13138.00195	350.6485291	360.4961853
10	13182.92871	13201.77441	353.3105774	372.1562805
11	13097.00488	13122.85938	348.4584656	374.3129578
12	13206.52539	13206.05664	359.6131287	359.1443787
13	13164.81641	13161.72266	356.3797913	353.2860413
14	13127.47266	13093.875	340.0789185	306.4812622
15	12957.63965	12940.68457	352.0305481	335.07547
16	13225.60449	13217.95703	358.7683411	351.1208801
17	13125.7041	13134.31641	351.8916016	360.5039063
18	13122.8252	13103.04883	359.5899963	339.8136292
19	13314.7373	13317.30859	357.403717	359.9750061
20	13220.06543	13198.97754	356.1737366	335.0858459
21	13345.91016	13378.45996	367.2948914	399.844696
22	13170.8584	13193.21777	353.7406311	376.1000061
23	12965.55762	12982.14551	369.6365662	386.2244568
24	12971.43945	12976.55371	355.9462585	361.0605164
25	13125.59473	13119.59766	352.309845	346.3127747
26	13255.09473	13292.27344	354.6918945	391.8706055
27	13284.02246	13302.56934	328.7144165	347.2612915
28	13124.69629	13133.625	354.2613525	363.1900635
29	13400.10156	13383.69434	347.2520752	330.8448486
30	13297.33691	13243.60449	349.0531006	295.3206787
31	13257.45215	13201.49414	349.3277588	293.369751
32	13346.11133	13344.58789	352.1266174	350.6031799
33	13442.04297	13443.63867	355.6669922	357.2626953
34	13577.65527	13490.1543	346.7222595	259.221283
35	13607.99414	13485.70703	345.1452026	222.8580933
36	13572.30566	13542.18848	337.2756348	307.1584473
37	13528.13379	13544.99414	352.4724426	369.3327942
38	13295.89453	13303.99805	343.8045959	351.9081116
39	13375.86914	13379.41113	331.8266296	335.3686218
40	13304.32031	13271.75	336.7337952	304.1634827
41	13536.9248	13495.58301	341.5094604	300.1676636
42	13551.86816	13554.4541	338.6448364	341.2307739
43	13331.3252	13332.91113	333.6577759	335.2437134
44	13445.49805	13432.37109	345.2263489	332.0993958
45	13170.03027	13177.19629	346.7331238	353.8991394
46	13330.39551	13398.08691	338.2346802	405.9260864
47	13258.69336	13288.90039	350.2232971	380.4303284
48	13379.64551	13406.50195	346.5008545	373.3572998
49	13094.81152	13111.6416	345.6167297	362.4468079
50	13016.39453	13108.1416	335.5884705	427.3355408
51	13246.91113	13328.04004	342.7203369	423.8492432
52	13204.31738	13254.05176	343.8938293	393.6282043
53	13025.61328	13095.2168	343.9755554	413.579071
